Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-07-31 04:31:04,32.3182,-86.9023,577463,11510,,,1.0,11777.303936114995,2756534.0,,1.9932012960137704,84000001.0,USA,56219.25340365497,
Alaska,US,2021-07-31 04:31:04,61.3707,-152.4044,75486,389,,,2.0,10318.709033620626,2485159.0,,0.5153273454680338,84000002.0,USA,339713.7565016506,
American Samoa,US,2021-07-31 04:31:04,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-07-31 04:31:04,33.7298,-111.4312,925169,18224,,,4.0,12710.605454230465,10688490.0,,1.9698022739629195,84000004.0,USA,146845.7971370504,
Arkansas,US,2021-07-31 04:31:04,34.9697,-92.3731,385113,6123,,,5.0,12761.365549253696,3299823.0,,1.5899229576773568,84000005.0,USA,109345.1728475408,
California,US,2021-07-31 04:31:04,36.1162,-119.6816,3956303,64423,,,6.0,10012.858552655971,73381744.0,,1.6283636516212232,84000006.0,USA,185719.09760683426,
Colorado,US,2021-07-31 04:31:04,39.0598,-105.3111,575082,6945,,,8.0,9986.2539279453,9445311.0,,1.2076538650140327,84000008.0,USA,164017.0863884019,
Connecticut,US,2021-07-31 04:31:04,41.5978,-72.7554,354335,8293,,,9.0,9938.470591568084,9043185.0,,2.340440543553417,84000009.0,USA,253645.3587046429,
Delaware,US,2021-07-31 04:31:04,39.3185,-75.5071,111275,1830,,,10.0,11427.306821776116,1948432.0,,1.6445742529768592,84000010.0,USA,200092.83563573926,
Diamond Princess,US,2021-07-31 04:31:04,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-07-31 04:31:04,38.8974,-77.0268,50398,1149,,,11.0,7141.065733001393,1727298.0,,2.2798523750942503,84000011.0,USA,244746.78674712963,
