Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-08-14 04:31:06,32.3182,-86.9023,627905,11765,,,1.0,12806.063813623186,2756534.0,,1.8736910838423009,84000001.0,USA,56219.25340365497,
Alaska,US,2021-08-14 04:31:06,61.3707,-152.4044,79823,403,,,2.0,10911.56388192114,2578858.0,,0.5048670182779399,84000002.0,USA,352522.1278253559,
American Samoa,US,2021-08-14 04:31:06,-14.270999999999999,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-08-14 04:31:06,33.7298,-111.4312,958992,18435,,,4.0,13175.288996673453,11058497.0,,1.9223309474948693,84000004.0,USA,151929.20675443215,
Arkansas,US,2021-08-14 04:31:06,34.9697,-92.3731,416173,6432,,,5.0,13790.590773953509,3434297.0,,1.5455111215768442,84000005.0,USA,113801.19451097553,
California,US,2021-08-14 04:31:06,36.1162,-119.6816,4116121,64593,,,6.0,10417.335921595704,76214542.0,,1.5692687362689288,84000006.0,USA,192888.51958544576,
Colorado,US,2021-08-14 04:31:06,39.0598,-105.3111,589526,7032,,,8.0,10237.072857654874,9703581.0,,1.1928227084131997,84000008.0,USA,168501.9247279264,
Connecticut,US,2021-08-14 04:31:06,41.5978,-72.7554,361836,8307,,,9.0,10148.860386274651,9249579.0,,2.2957914635359664,84000009.0,USA,259434.345678202,
Delaware,US,2021-08-14 04:31:06,39.3185,-75.5071,113853,1837,,,10.0,11692.052694492713,1983983.0,,1.6134840539994555,84000010.0,USA,203743.72024433024,
Diamond Princess,US,2021-08-14 04:31:06,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-08-14 04:31:06,38.8974,-77.0268,52201,1150,,,11.0,7396.538996158692,1771860.0,,2.2030229305951994,84000011.0,USA,251060.9295939491,
Florida,US,2021-08-14 04:31:06,27.7663,-81.6868,2920749,40766,,,12.0,13598.960635377927,24335454.0,,1.3957378740864073,84000012.0,USA,113305.48465138575,
Georgia,US,2021-08-14 04:31:06,33.0406,-83.6431,1252615,21978,,,13.0,11797.73095599563,9782536.0,,1.7545694407299928,84000013.0,USA,92136.63240128984,
