Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-08-05 04:30:41,32.3182,-86.9023,595816,11561,,,1.0,12151.611656504905,2756534.0,,1.9403641392644708,84000001.0,USA,56219.25340365497,
Alaska,US,2021-08-05 04:30:41,61.3707,-152.4044,76874,393,,,2.0,10508.444456595287,2514701.0,,0.511226162291542,84000002.0,USA,343752.05899842107,
American Samoa,US,2021-08-05 04:30:41,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-08-05 04:30:41,33.7298,-111.4312,935647,18289,,,4.0,12854.559395563809,10794945.0,,1.9546901769577631,84000004.0,USA,148308.34884774336,
Arkansas,US,2021-08-05 04:30:41,34.9697,-92.3731,394461,6230,,,5.0,13071.127217009453,3338176.0,,1.5793703306537274,84000005.0,USA,110616.06386630806,
California,US,2021-08-05 04:30:41,36.1162,-119.6816,4003787,64620,,,6.0,10133.034023421056,74331144.0,,1.6139719720354757,84000006.0,USA,188121.8983806606,
Colorado,US,2021-08-05 04:30:41,39.0598,-105.3111,579366,6963,,,8.0,10060.645252708233,9525773.0,,1.201830966953532,84000008.0,USA,165414.30272198626,
Connecticut,US,2021-08-05 04:30:41,41.5978,-72.7554,356701,8292,,,9.0,10004.832710522323,9118348.0,,2.3246360397083268,84000009.0,USA,255753.5480313366,
Delaware,US,2021-08-05 04:30:41,39.3185,-75.5071,111884,1833,,,10.0,11489.847642755327,1959985.0,,1.6383039576704443,84000010.0,USA,201279.26273717245,
Diamond Princess,US,2021-08-05 04:30:41,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-08-05 04:30:41,38.8974,-77.0268,50858,1149,,,11.0,7206.244713063708,1740568.0,,2.2592315859845056,84000011.0,USA,246627.0586284925,
Florida,US,2021-08-05 04:30:41,27.7663,-81.6868,2634234,39079,,,12.0,12264.951377326206,24335454.0,,1.483505261871193,84000012.0,USA,113305.48465138575,
Georgia,US,2021-08-05 04:30:41,33.0406,-83.6431,1199628,21735,,,13.0,11298.673887251172,9559807.0,,1.8118116616151008,84000013.0,USA,90038.86347939608,
Grand Princess,US,2021-08-05 04:30:41,,,103,3,,,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2021-08-05 04:30:41,13.4443,144.7937,8623,143,,,66.0,5250.595205475282,177833.0,,1.6583555607097298,316.0,GUM,108283.55527951824,
Hawaii,US,2021-08-05 04:30:41,21.0943,-157.4983,43962,538,,,15.0,3104.9416896442613,1870368.0,,1.2237841772439837,84000015.0,USA,132100.07684310447,
