Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-07-26 04:31:01,32.3182,-86.9023,570667,11483,,,1.0,11638.700151024284,2737938.0,,2.0122067685708127,84000001.0,USA,55839.98972096709,
Alaska,US,2021-07-26 04:31:01,61.3707,-152.4044,73818,384,,,2.0,10090.698453273551,2461647.0,,0.5201983256116395,84000002.0,USA,336499.73685829306,
American Samoa,US,2021-07-26 04:31:01,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-07-26 04:31:01,33.7298,-111.4312,917168,18171,,,4.0,12600.682235619273,10598179.0,,1.9812073687699527,84000004.0,USA,145605.0427568485,
Arkansas,US,2021-07-26 04:31:01,34.9697,-92.3731,375350,6054,,,5.0,12437.852160047505,3261287.0,,1.6128946316771011,84000005.0,USA,108068.21781666404,
California,US,2021-07-26 04:31:01,36.1162,-119.6816,3905990,64235,,,6.0,9885.523272127715,72441974.0,,1.644525459614592,84000006.0,USA,183340.66903803413,
Colorado,US,2021-07-26 04:31:01,39.0598,-105.3111,569289,6910,,,8.0,9885.658936266569,9356288.0,,1.2137947509964184,84000008.0,USA,162471.20895974393,
Connecticut,US,2021-07-26 04:31:01,41.5978,-72.7554,352037,8286,,,9.0,9874.01575244854,8985166.0,,2.3537298636222896,84000009.0,USA,252018.02828215517,
Delaware,US,2021-07-26 04:31:01,39.3185,-75.5071,110797,1698,,,10.0,11378.218952436117,1938451.0,,1.5325324692906848,84000010.0,USA,199067.8439539765,
Diamond Princess,US,2021-07-26 04:31:01,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-07-26 04:31:01,38.8974,-77.0268,49973,1146,,,11.0,7080.846023161209,1712749.0,,2.2932383487083023,84000011.0,USA,242685.28896250649,
Florida,US,2021-07-26 04:31:01,27.7663,-81.6868,2523510,38670,,,12.0,11749.422204024568,24335454.0,,1.5323894099884685,84000012.0,USA,113305.48465138575,
Georgia,US,2021-07-26 04:31:01,33.0406,-83.6431,1157705,21614,,,13.0,10903.822895631078,9367744.0,,1.8669695647855025,84000013.0,USA,88229.92170510678,
Grand Princess,US,2021-07-26 04:31:01,,,103,3,,,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2021-07-26 04:31:01,13.4443,144.7937,8501,143,,,66.0,5176.308690913298,173583.0,,1.6821550405834609,316.0,GUM,105695.70538699011,
Hawaii,US,2021-07-26 04:31:01,21.0943,-157.4983,40659,529,,,15.0,2871.657889978755,1816422.0,,1.301064954868541,84000015.0,USA,128289.98666546127,
Idaho,US,2021-07-26 04:31:01,44.2405,-114.4788,198296,2183,,,16.0,11096.182847294309,818701.0,,1.1008794932827692,84000016.0,USA,45812.603346828466,
Illinois,US,2021-07-26 04:31:01,40.3495,-88.9861,1407929,25834,,,17.0,11110.707766468608,26534129.0,,1.8348936629616976,84000017.0,USA,209394.7586538667,
Indiana,US,2021-07-26 04:31:01,39.8494,-86.2583,764448,13965,,,18.0,11355.06732624117,11111463.0,,1.8268083636820291,84000018.0,USA,165049.04252223525,
Iowa,US,2021-07-26 04:31:01,42.0115,-93.2105,376673,6170,,,19.0,11938.657462433479,1512653.0,,1.6380255553225211,84000019.0,USA,47943.56385119823,
Kansas,US,2021-07-26 04:31:01,38.5266,-96.7265,328185,5241,,,20.0,11265.006106447849,1482618.0,,1.5969651263768911,84000020.0,USA,50891.11575339974,
Kentucky,US,2021-07-26 04:31:01,37.6681,-84.6701,474444,7312,,,21.0,10619.488042208997,5602057.0,,1.5411724039085748,84000021.0,USA,125390.93617639427,
Louisiana,US,2021-07-26 04:31:01,31.1695,-91.8678,512843,10900,,,22.0,11031.742856319297,7411765.0,,2.12540680091178,84000022.0,USA,159434.14571607177,
Maine,US,2021-07-26 04:31:01,44.6939,-69.3819,69905,897,,,23.0,5200.444572731087,2396744.0,,1.2831700164508977,84000023.0,USA,178301.04179995414,
Maryland,US,2021-07-26 04:31:01,39.0639,-76.8021,465949,9807,,,24.0,7707.139643514047,11168422.0,,2.104736784497874,84000024.0,USA,184733.92571224406,
Massachusetts,US,2021-07-26 04:31:01,42.2302,-71.5301,715180,18046,,,25.0,10376.201504736378,24414571.0,,2.5232808523728294,84000025.0,USA,354219.22921179724,
Michigan,US,2021-07-26 04:31:01,43.3266,-84.5361,1006360,21146,,,26.0,10076.843996064026,14513624.0,,2.101236138161294,84000026.0,USA,145327.24359625854,
Minnesota,US,2021-07-26 04:31:01,45.6945,-93.9002,609387,7743,,,27.0,10805.43907829447,9631236.0,,1.2706211323838543,84000027.0,USA,170777.73868933288,
Mississippi,US,2021-07-26 04:31:01,32.7416,-89.6787,333180,7502,,,28.0,11195.004013575935,2023999.0,,2.251635752446125,84000028.0,USA,68007.31414993,
Missouri,US,2021-07-26 04:31:01,38.4561,-92.2884,670252,9979,,,29.0,10920.730964175871,5981421.0,,1.488843002333451,84000029.0,USA,97458.10460016802,
Montana,US,2021-07-26 04:31:01,46.9219,-110.4544,115255,1695,,,30.0,10783.811044014754,1497028.0,,1.4706520324497852,84000030.0,USA,140069.1256743683,
Nebraska,US,2021-07-26 04:31:01,41.1254,-98.2681,226839,2284,,,31.0,11726.533389026514,3118888.0,,1.0068815327170373,84000031.0,USA,161232.17025570615,
Nevada,US,2021-07-26 04:31:01,38.3135,-117.0554,349043,5817,,,32.0,11331.99097708038,3663843.0,,1.6665568425666752,84000032.0,USA,118949.9168223947,
New Hampshire,US,2021-07-26 04:31:01,43.4525,-71.5639,100152,1385,,,33.0,7365.682854665441,2114235.0,,1.3828979950475278,84000033.0,USA,155491.4978256409,
New Jersey,US,2021-07-26 04:31:01,40.2989,-74.521,1033712,26575,,,34.0,11638.030710894496,14705824.0,,2.570832107975916,84000034.0,USA,165565.29414479987,
New Mexico,US,2021-07-26 04:31:01,34.8405,-106.2485,208487,4397,,,35.0,9942.966260004987,3767590.0,,2.109004398355773,84000035.0,USA,179680.36497015253,
New York,US,2021-07-26 04:31:01,42.1657,-74.9481,2136032,53603,,,36.0,10980.159365167128,60612723.0,,2.519297463708409,84000036.0,USA,311576.4923450261,
North Carolina,US,2021-07-26 04:31:01,35.6301,-79.8064,1031929,13570,,,37.0,9839.061166939548,12773683.0,,1.3150129514724365,84000037.0,USA,121792.34071733215,
