Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-08-16 04:31:19,32.3182,-86.9023,634897,11798,,,1.0,12948.6650004028,2756534.0,,1.8582541735116087,84000001.0,USA,56219.25340365497,
Alaska,US,2021-08-16 04:31:19,61.3707,-152.4044,79823,403,,,2.0,10911.56388192114,2585595.0,,0.5048670182779399,84000002.0,USA,353443.0554511342,
American Samoa,US,2021-08-16 04:31:19,-14.270999999999999,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-08-16 04:31:19,33.7298,-111.4312,965462,18464,,,4.0,13264.178288563768,11135053.0,,1.9124522767338328,84000004.0,USA,152980.98552258592,
Arkansas,US,2021-08-16 04:31:19,34.9697,-92.3731,419807,6467,,,5.0,13911.009462509825,3459097.0,,1.5404697873070243,84000005.0,USA,114622.98413018207,
California,US,2021-08-16 04:31:19,36.1162,-119.6816,4132332,64665,,,6.0,10458.363732154476,76793736.0,,1.5648549051721885,84000006.0,USA,194354.3799092245,
Colorado,US,2021-08-16 04:31:19,39.0598,-105.3111,589526,7032,,,8.0,10237.072857654874,9727047.0,,1.1928227084131997,84000008.0,USA,168909.40998163485,
Connecticut,US,2021-08-16 04:31:19,41.5978,-72.7554,361836,8307,,,9.0,10148.860386274651,9264240.0,,2.2957914635359664,84000009.0,USA,259845.56082020892,
Delaware,US,2021-08-16 04:31:19,39.3185,-75.5071,114486,1838,,,10.0,11757.058178367652,1993876.0,,1.6054364725818004,84000010.0,USA,204759.67482880855,
Diamond Princess,US,2021-08-16 04:31:19,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-08-16 04:31:19,38.8974,-77.0268,52201,1150,,,11.0,7396.538996158692,1777003.0,,2.2030229305951994,84000011.0,USA,251789.6589297328,
Florida,US,2021-08-16 04:31:19,27.7663,-81.6868,2920749,40766,,,12.0,13598.960635377927,24335454.0,,1.3957378740864073,84000012.0,USA,113305.48465138575,
Georgia,US,2021-08-16 04:31:19,33.0406,-83.6431,1252615,21978,,,13.0,11797.73095599563,9811889.0,,1.7545694407299928,84000013.0,USA,92413.09308294488,
Grand Princess,US,2021-08-16 04:31:19,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-08-16 04:31:19,13.4443,144.7937,8911,143,,,66.0,5425.960092310128,182876.0,,1.6047581640668835,316.0,GUM,111354.26751669924,
Hawaii,US,2021-08-16 04:31:19,21.0943,-157.4983,51200,552,,,15.0,3616.146092302129,1956634.0,,1.078125,84000015.0,USA,138192.85924151336,
